"H1","Label","Area","Perim."
"5","14:NI-ND-20","31598","683.252"
"6","14:NI-ND-25","31617","682.080"
"7","14:NI-ND-30","31656","684.566"
"8","14:NI-ND-35","31645","683.252"
"9","14:NI-ND-40","31672","687.980"
"10","14:NI-ND-45","31679","687.637"
"11","14:NI-ND-50","31740","686.666"
"12","14:NI-ND-55","31772","692.222"
"1","140:M1-K-00","32987","705.294"
"2","140:M1-K-05","33102","714.164"
"3","140:M1-K-10","32941","710.749"
"4","140:M1-K-15","32886","707.092"
"5","140:M1-K-20","32953","715.963"
"6","140:M1-K-25","32960","702.850"
"7","140:M1-K-30","32987","705.921"
"8","140:M1-K-35","33057","715.720"
"9","140:M1-K-40","33066","716.205"
"10","140:M1-K-45","33112","716.548"
"11","140:M1-K-50","33128","705.678"
"12","140:M1-K-55","33189","711.335"
"1","141:NI-BAPTA-00","36924","736.850"
"2","141:NI-BAPTA-05","36903","736.607"
"3","141:NI-BAPTA-10","36888","735.678"
"4","141:NI-BAPTA-15","36850","738.507"
"5","141:NI-BAPTA-20","36846","739.092"
"6","141:NI-BAPTA-25","36837","739.092"
"7","141:NI-BAPTA-30","36820","738.749"
"8","141:NI-BAPTA-35","36768","737.578"
"9","141:NI-BAPTA-40","36790","741.578"
"10","141:NI-BAPTA-45","36787","735.921"
"11","141:NI-BAPTA-50","36753","739.578"
"12","141:NI-BAPTA-55","36735","739.235"
"13","141:NI-BAPTA-60","36713","739.578"
"1","142:NI-BAPTA-00","37431","749.578"
"2","142:NI-BAPTA-05","37523","764.205"
"3","142:NI-BAPTA-10","37540","757.134"
"4","142:NI-BAPTA-15","37580","756.306"
"5","142:NI-BAPTA-20","37641","757.963"
"6","142:NI-BAPTA-25","37646","760.548"
"7","142:NI-BAPTA-30","37659","754.264"
"8","142:NI-BAPTA-35","37710","750.507"
"9","142:NI-BAPTA-40","37719","762.933"
"10","142:NI-BAPTA-45","37759","761.235"
"11","142:NI-BAPTA-50","37804","751.921"
"12","142:NI-BAPTA-55","37803","759.720"
"1","143:NI-BAPTA-00","34487","709.536"
"2","143:NI-BAPTA-05","34495","712.850"
"3","143:NI-BAPTA-10","34467","717.921"
"4","143:NI-BAPTA-15","34492","714.365"
"5","143:NI-BAPTA-20","34508","717.193"
"6","143:NI-BAPTA-25","34551","714.950"
"7","143:NI-BAPTA-30","34538","711.536"
"8","143:NI-BAPTA-35","34530","718.021"
"9","143:NI-BAPTA-40","34570","720.607"
"10","143:NI-BAPTA-45","34556","718.850"
"11","143:NI-BAPTA-50","34559","713.779"
"12","143:NI-BAPTA-55","34595","715.779"
"1","144:NI-BAPTA-00","42085","790.448"
"2","144:NI-BAPTA-05","42113","797.661"
"3","144:NI-BAPTA-10","42031","794.933"
"4","144:NI-BAPTA-15","42033","797.661"
"5","144:NI-BAPTA-20","42049","799.661"
"6","144:NI-BAPTA-25","42018","791.619"
"7","144:NI-BAPTA-30","42019","804.732"
"8","144:NI-BAPTA-35","42029","795.762"
"9","144:NI-BAPTA-40","41986","792.690"
"10","144:NI-BAPTA-45","41966","803.075"
"11","144:NI-BAPTA-50","41953","794.690"
"12","144:NI-BAPTA-55","41895","794.347"
"1","145:NI-BAPTA-00","35649","713.495"
"2","145:NI-BAPTA-05","35710","720.808"
"3","145:NI-BAPTA-10","35684","716.566"
"4","145:NI-BAPTA-15","35669","711.838"
"5","145:NI-BAPTA-20","35632","710.767"
"6","145:NI-BAPTA-25","35640","714.323"
"7","145:NI-BAPTA-30","35639","712.423"
"8","145:NI-BAPTA-35","35638","714.909"
"9","145:NI-BAPTA-40","35639","712.423"
"10","145:NI-BAPTA-45","35627","708.524"
"11","145:NI-BAPTA-50","35603","714.323"
"12","145:NI-BAPTA-55","35603","714.323"
"1","146:NI-BAPTA-00","41176","775.820"
"2","146:NI-BAPTA-05","41218","776.406"
"3","146:NI-BAPTA-10","41253","776.406"
"4","146:NI-BAPTA-15","41265","774.164"
"5","146:NI-BAPTA-20","41303","771.678"
"6","146:NI-BAPTA-25","41348","773.092"
"7","146:NI-BAPTA-30","41336","775.578"
"8","146:NI-BAPTA-35","41358","772.264"
"9","146:NI-BAPTA-40","41403","776.749"
"10","146:NI-BAPTA-45","41425","775.335"
"11","146:NI-BAPTA-50","41440","777.678"
"12","146:NI-BAPTA-55","41462","777.335"
"1","147:NI-BAPTA-00","44866","825.661"
"2","147:NI-BAPTA-05","44925","825.803"
"3","147:NI-BAPTA-10","45006","832.288"
"4","147:NI-BAPTA-15","45024","832.531"
"5","147:NI-BAPTA-20","45005","826.389"
"6","147:NI-BAPTA-25","44943","823.904"
"7","147:NI-BAPTA-30","44992","832.288"
"8","147:NI-BAPTA-35","44941","832.288"
"9","147:NI-BAPTA-40","44883","823.803"
"10","147:NI-BAPTA-45","44958","834.046"
"11","147:NI-BAPTA-50","44888","830.046"
"12","147:NI-BAPTA-55","44960","822.247"
"13","147:NI-BAPTA-60","44902","821.904"
"1","148:NI-BAPTA-00","43082","800.205"
"2","148:NI-BAPTA-05","43388","834.431"
"3","148:NI-BAPTA-10","43275","831.602"
"4","148:NI-BAPTA-15","43175","817.460"
"5","148:NI-BAPTA-20","43151","831.845"
"6","148:NI-BAPTA-25","43143","826.632"
"7","148:NI-BAPTA-30","43120","824.632"
"8","148:NI-BAPTA-35","43145","810.732"
"9","148:NI-BAPTA-40","43159","837.786"
"10","148:NI-BAPTA-45","43124","819.703"
"11","148:NI-BAPTA-50","43071","827.845"
"12","148:NI-BAPTA-55","43029","826.632"
"13","148:NI-BAPTA-60","43077","839.845"
"1","149:NI-BAPTA-00","47059","832.105"
"2","149:NI-BAPTA-05","47195","836.347"
"3","149:NI-BAPTA-10","47161","838.247"
"4","149:NI-BAPTA-15","47097","834.933"
"5","149:NI-BAPTA-20","47082","833.762"
"6","149:NI-BAPTA-25","47037","839.904"
"7","149:NI-BAPTA-30","47050","844.732"
"8","149:NI-BAPTA-35","47018","836.833"
"9","149:NI-BAPTA-40","47000","842.146"
"10","149:NI-BAPTA-45","46970","829.377"
"11","149:NI-BAPTA-50","46966","833.762"
"12","149:NI-BAPTA-55","46945","837.176"
"13","149:NI-BAPTA-60","46950","834.105"
"1","15:NI-ND-00","34283","714.992"
"2","15:NI-ND-05","34270","715.921"
"3","15:NI-ND-10","34282","713.193"
"4","15:NI-ND-15","34298","712.850"
"5","15:NI-ND-20","34323","719.820"
"6","15:NI-ND-25","34317","715.335"
"7","15:NI-ND-30","34308","709.536"
"8","15:NI-ND-35","34311","716.164"
"9","15:NI-ND-40","34324","715.092"
"10","15:NI-ND-45","34327","705.879"
"11","15:NI-ND-50","34337","714.264"
"12","15:NI-ND-55","34368","710.365"
"1","150:NI-BAPTA-00","39035","758.992"
"2","150:NI-BAPTA-05","39025","757.092"
"3","150:NI-BAPTA-10","39017","749.193"
"4","150:NI-BAPTA-15","38971","762.406"
"5","150:NI-BAPTA-20","38942","755.820"
"6","150:NI-BAPTA-25","38914","750.507"
"7","150:NI-BAPTA-30","38893","753.578"
"8","150:NI-BAPTA-35","38870","751.921"
"9","150:NI-BAPTA-40","38868","750.021"
"10","150:NI-BAPTA-45","38869","756.164"
"11","150:NI-BAPTA-50","38863","751.092"
"12","150:NI-BAPTA-55","38836","757.235"
"13","150:NI-BAPTA-60","38807","750.749"
"1","151:NI-BAPTA-00","46417","837.318"
"2","151:NI-BAPTA-05","46385","833.318"
"3","151:NI-BAPTA-10","46291","831.904"
"4","151:NI-BAPTA-15","46248","837.460"
"5","151:NI-BAPTA-20","46255","835.904"
"6","151:NI-BAPTA-25","46227","841.561"
"7","151:NI-BAPTA-30","46212","838.489"
"8","151:NI-BAPTA-35","46187","833.803"
"9","151:NI-BAPTA-40","46197","840.146"
"10","151:NI-BAPTA-45","46204","843.117"
"11","151:NI-BAPTA-50","46197","838.389"
"12","151:NI-BAPTA-55","46208","827.519"
"13","151:NI-BAPTA-60","46135","837.460"
"1","152:NI-BAPTA-00","43645","810.690"
"2","152:NI-BAPTA-05","43783","810.004"
"3","152:NI-BAPTA-10","43793","818.732"
"4","152:NI-BAPTA-15","43840","811.418"
"5","152:NI-BAPTA-20","43896","811.762"
"6","152:NI-BAPTA-25","43933","806.548"
"7","152:NI-BAPTA-30","43925","816.247"
"8","152:NI-BAPTA-35","43924","815.318"
"9","152:NI-BAPTA-40","43938","822.046"
"10","152:NI-BAPTA-45","43953","818.247"
"11","152:NI-BAPTA-50","43937","821.117"
"12","152:NI-BAPTA-55","43956","808.105"
"1","153:NI-BAPTA-00","43943","815.661"
"1","154:M1-BAPTA-00","43170","822.004"
"2","154:M1-BAPTA-05","43204","814.690"
"3","154:M1-BAPTA-10","43220","818.205"
"4","154:M1-BAPTA-15","43216","825.176"
"5","154:M1-BAPTA-20","43318","818.690"
"6","154:M1-BAPTA-25","43353","825.418"
"7","154:M1-BAPTA-30","43339","817.963"
"8","154:M1-BAPTA-35","43374","817.820"
"9","154:M1-BAPTA-40","43389","833.418"
"10","154:M1-BAPTA-45","43424","823.276"
"11","154:M1-BAPTA-50","43450","821.377"
"12","154:M1-BAPTA-55","43478","825.176"
"13","154:M1-BAPTA-60","43480","823.720"
"1","155:M1-BAPTA-00","40271","786.205"
"2","155:M1-BAPTA-05","40209","780.306"
"3","155:M1-BAPTA-10","40210","787.619"
"4","155:M1-BAPTA-15","40202","789.963"
"5","155:M1-BAPTA-20","40253","784.891"
"6","155:M1-BAPTA-25","40261","786.205"
"7","155:M1-BAPTA-30","40263","791.176"
"8","155:M1-BAPTA-35","40325","789.276"
"9","155:M1-BAPTA-40","40353","781.477"
"10","155:M1-BAPTA-45","40395","780.649"
"11","155:M1-BAPTA-50","40374","786.690"
"12","155:M1-BAPTA-55","40370","778.649"
"13","155:M1-BAPTA-60","40416","786.649"
"1","156:M1-BAPTA-00","31217","670.423"
"2","156:M1-BAPTA-05","31381","677.495"
"3","156:M1-BAPTA-10","31369","676.808"
"4","156:M1-BAPTA-15","31414","676.566"
"5","156:M1-BAPTA-20","31469","677.394"
"6","156:M1-BAPTA-25","31463","682.465"
"7","156:M1-BAPTA-30","31506","674.080"
"8","156:M1-BAPTA-35","31506","681.294"
"9","156:M1-BAPTA-40","31527","680.465"
"10","156:M1-BAPTA-45","31534","680.323"
"11","156:M1-BAPTA-50","31547","683.536"
"12","156:M1-BAPTA-55","31573","678.323"
"13","156:M1-BAPTA-60","31575","678.323"
"1","157:M1-BAPTA-00","36222","725.051"
"2","157:M1-BAPTA-05","36250","737.678"
"3","157:M1-BAPTA-10","36281","734.507"
"4","157:M1-BAPTA-15","36315","723.394"
"5","157:M1-BAPTA-20","36363","730.365"
"6","157:M1-BAPTA-25","36372","739.820"
"7","157:M1-BAPTA-30","36369","733.921"
"8","157:M1-BAPTA-35","36368","731.637"
"9","157:M1-BAPTA-40","36398","733.678"
"10","157:M1-BAPTA-45","36406","728.122"
"11","157:M1-BAPTA-50","36477","729.051"
"12","157:M1-BAPTA-55","36438","729.294"
"1","158:M1-BAPTA-00","36855","740.507"
"2","158:M1-BAPTA-05","36841","739.335"
"3","158:M1-BAPTA-10","36890","749.235"
"4","158:M1-BAPTA-15","36959","733.879"
"5","158:M1-BAPTA-20","37016","742.164"
"6","158:M1-BAPTA-25","37058","743.436"
"7","158:M1-BAPTA-30","37130","746.406"
"8","158:M1-BAPTA-35","37152","744.406"
"9","158:M1-BAPTA-40","37187","749.235"
"10","158:M1-BAPTA-45","37211","740.264"
"11","158:M1-BAPTA-50","37285","752.164"
"12","158:M1-BAPTA-55","37311","748.649"
"13","158:M1-BAPTA-60","37391","748.406"
"1","159:M1-BAPTA-00","38927","757.536"
"2","159:M1-BAPTA-05","38917","763.678"
"3","159:M1-BAPTA-10","38922","763.678"
"4","159:M1-BAPTA-15","38976","762.749"
"5","159:M1-BAPTA-20","39004","763.921"
"6","159:M1-BAPTA-25","39028","774.548"
"7","159:M1-BAPTA-30","39098","770.548"
"8","159:M1-BAPTA-35","39162","777.034"
"9","159:M1-BAPTA-40","39189","771.134"
"10","159:M1-BAPTA-45","39239","765.235"
"11","159:M1-BAPTA-50","39266","763.436"
"12","159:M1-BAPTA-55","39296","772.063"
"13","159:M1-BAPTA-60","39356","770.063"
"1","16:NI-ND-00","31517","679.737"
"2","16:NI-ND-05","32343","691.151"
"3","16:NI-ND-10","32371","690.423"
"4","16:NI-ND-15","32366","685.009"
"5","16:NI-ND-20","32404","685.352"
"6","16:NI-ND-25","32397","687.009"
"7","16:NI-ND-30","32387","687.595"
"8","16:NI-ND-35","32405","690.323"
"9","16:NI-ND-40","32422","689.737"
"10","16:NI-ND-45","32452","687.252"
"11","16:NI-ND-50","32446","685.352"
"12","16:NI-ND-55","32465","690.909"
"1","160:M1-BAPTA-00","33204","707.092"
"2","160:M1-BAPTA-05","33086","701.536"
"3","160:M1-BAPTA-10","33080","702.122"
"4","160:M1-BAPTA-15","33082","710.406"
"5","160:M1-BAPTA-20","33106","702.850"
"6","160:M1-BAPTA-25","33152","702.122"
"7","160:M1-BAPTA-30","33165","698.708"
"8","160:M1-BAPTA-35","33229","708.992"
"9","160:M1-BAPTA-40","33305","701.294"
"10","160:M1-BAPTA-45","33337","704.950"
"11","160:M1-BAPTA-50","33349","710.264"
"12","160:M1-BAPTA-55","33383","697.637"
"1","161:M1ex-BAPTA-00","28612","659.980"
"2","161:M1ex-BAPTA-05","28821","666.909"
"3","161:M1ex-BAPTA-10","28869","661.151"
"4","161:M1ex-BAPTA-15","28919","664.465"
"5","161:M1ex-BAPTA-20","28937","657.009"
"6","161:M1ex-BAPTA-25","28937","657.252"
"7","161:M1ex-BAPTA-30","28956","664.808"
"8","161:M1ex-BAPTA-35","28933","661.252"
"9","161:M1ex-BAPTA-40","28939","667.879"
"10","161:M1ex-BAPTA-45","28937","656.666"
"11","161:M1ex-BAPTA-50","28941","658.423"
"12","161:M1ex-BAPTA-55","28959","660.666"
"13","161:M1ex-BAPTA-60","28976","674.122"
"1","162:M1ex-BAPTA-00","43858","812.105"
"2","162:M1ex-BAPTA-05","44010","823.418"
"3","162:M1ex-BAPTA-10","43960","827.360"
"4","162:M1ex-BAPTA-15","43925","814.347"
"5","162:M1ex-BAPTA-20","43913","823.075"
"6","162:M1ex-BAPTA-25","43890","817.075"
"7","162:M1ex-BAPTA-30","43898","815.318"
"8","162:M1ex-BAPTA-35","43877","817.561"
"9","162:M1ex-BAPTA-40","43841","817.217"
"10","162:M1ex-BAPTA-45","43779","830.673"
"11","162:M1ex-BAPTA-50","43803","828.673"
"12","162:M1ex-BAPTA-55","43771","815.318"
"1","163:M1ex-BAPTA-00","29133","665.879"
"2","163:M1ex-BAPTA-05","29168","664.566"
"3","163:M1ex-BAPTA-10","29234","663.980"
"4","163:M1ex-BAPTA-15","29286","655.009"
"5","163:M1ex-BAPTA-20","29335","657.009"
"6","163:M1ex-BAPTA-25","29367","660.666"
"7","163:M1ex-BAPTA-30","29416","659.151"
"8","163:M1ex-BAPTA-35","29441","660.080"
"9","163:M1ex-BAPTA-40","29454","655.595"
"10","163:M1ex-BAPTA-45","29460","663.980"
"11","163:M1ex-BAPTA-50","29473","662.566"
"12","163:M1ex-BAPTA-55","29469","663.637"
"1","164:M1ex-BAPTA-00","31308","700.749"
"2","164:M1ex-BAPTA-05","31401","708.063"
"3","164:M1ex-BAPTA-10","31469","701.092"
"4","164:M1ex-BAPTA-15","31555","704.749"
"5","164:M1ex-BAPTA-20","31630","704.507"
"6","164:M1ex-BAPTA-25","31687","707.578"
"7","164:M1ex-BAPTA-30","31797","705.578"
"8","164:M1ex-BAPTA-35","31756","700.950"
"9","164:M1ex-BAPTA-40","31766","706.164"
"10","164:M1ex-BAPTA-45","31803","702.850"
"11","164:M1ex-BAPTA-50","31845","717.377"
"12","164:M1ex-BAPTA-55","31921","704.607"
"1","165:M1ex-BAPTA-00","34853","715.394"
"2","165:M1ex-BAPTA-05","35367","717.394"
"3","165:M1ex-BAPTA-10","35448","719.051"
"4","165:M1ex-BAPTA-15","35486","716.666"
"5","165:M1ex-BAPTA-20","35468","714.666"
"6","165:M1ex-BAPTA-25","35416","716.909"
"7","165:M1ex-BAPTA-30","35509","734.950"
"8","165:M1ex-BAPTA-35","35508","715.495"
"9","165:M1ex-BAPTA-40","35512","719.637"
"10","165:M1ex-BAPTA-45","35559","720.222"
"11","165:M1ex-BAPTA-50","35592","715.252"
"12","165:M1ex-BAPTA-55","35624","717.495"
"13","165:M1ex-BAPTA-60","35695","719.980"
"1","166:M1ex-BAPTA-00","32754","707.092"
"2","166:M1ex-BAPTA-05","32963","732.063"
"3","166:M1ex-BAPTA-10","33000","716.749"
"4","166:M1ex-BAPTA-15","32908","703.436"
"5","166:M1ex-BAPTA-20","32945","714.406"
"6","166:M1ex-BAPTA-25","32952","720.306"
"7","166:M1ex-BAPTA-30","32951","718.306"
"8","166:M1ex-BAPTA-35","32952","716.791"
"9","166:M1ex-BAPTA-40","33001","714.063"
"10","166:M1ex-BAPTA-45","33074","722.891"
"11","166:M1ex-BAPTA-50","33133","718.264"
"12","166:M1ex-BAPTA-55","33218","710.264"
"1","167:M1ex-BAPTA-00","35269","730.749"
"2","167:M1ex-BAPTA-05","35279","732.850"
"3","167:M1ex-BAPTA-10","35335","731.193"
"4","167:M1ex-BAPTA-15","35409","731.678"
"5","167:M1ex-BAPTA-20","35445","734.164"
"6","167:M1ex-BAPTA-25","35515","732.406"
"7","167:M1ex-BAPTA-30","35503","732.992"
"8","167:M1ex-BAPTA-35","35501","727.779"
"9","167:M1ex-BAPTA-40","35552","727.193"
"10","167:M1ex-BAPTA-45","35558","738.406"
"11","167:M1ex-BAPTA-50","35606","733.921"
"12","167:M1ex-BAPTA-55","35626","725.536"
"13","167:M1ex-BAPTA-60","35684","735.335"
"1","168:M1ex-BAPTA-00","35616","726.264"
"2","168:M1ex-BAPTA-05","35610","725.436"
"3","168:M1ex-BAPTA-10","35619","719.637"
"4","168:M1ex-BAPTA-15","35618","731.092"
"5","168:M1ex-BAPTA-20","35673","732.164"
"6","168:M1ex-BAPTA-25","35687","721.879"
"7","168:M1ex-BAPTA-30","35686","728.749"
"8","168:M1ex-BAPTA-35","35663","732.063"
"9","168:M1ex-BAPTA-40","35659","723.779"
"10","168:M1ex-BAPTA-45","35643","727.436"
"11","168:M1ex-BAPTA-50","35660","729.092"
"12","168:M1ex-BAPTA-55","35712","726.021"
"1","169:M1ex-K-00","34125","713.294"
"2","169:M1ex-K-05","34216","707.495"
"3","169:M1ex-K-10","34275","713.637"
"4","169:M1ex-K-15","34341","709.151"
"5","169:M1ex-K-20","34410","712.122"
"6","169:M1ex-K-25","34491","729.820"
"7","169:M1ex-K-30","34546","720.507"
"8","169:M1ex-K-35","34563","715.779"
"9","169:M1ex-K-40","34633","715.879"
"10","169:M1ex-K-45","34649","709.980"
"11","169:M1ex-K-50","34680","715.294"
"12","169:M1ex-K-55","34719","718.021"
"13","169:M1ex-K-60","34759","709.495"
"1","17:NI-ND-00","39322","766.649"
"2","17:NI-ND-05","39395","770.306"
"3","17:NI-ND-10","39428","765.335"
"4","17:NI-ND-15","39479","765.235"
"5","17:NI-ND-20","39484","770.306"
"6","17:NI-ND-25","39573","771.862"
"7","17:NI-ND-30","39538","762.264"
"8","17:NI-ND-35","39523","769.477"
"9","17:NI-ND-40","39582","772.690"
"10","17:NI-ND-45","39941","765.820"
"1","170:M1ex-K-00","34270","716.992"
"2","170:M1ex-K-05","34273","724.649"
"3","170:M1ex-K-10","34277","724.992"
"4","170:M1ex-K-15","34359","718.850"
"5","170:M1ex-K-20","34406","729.720"
"6","170:M1ex-K-25","34480","725.578"
"7","170:M1ex-K-30","34459","722.063"
"8","170:M1ex-K-35","34483","726.992"
"9","170:M1ex-K-40","34505","728.548"
"10","170:M1ex-K-45","34514","721.477"
"11","170:M1ex-K-50","34545","732.891"
"12","170:M1ex-K-55","34655","732.306"
"1","171:M1ex-K-00","41443","806.489"
"2","171:M1ex-K-05","41455","807.318"
"3","171:M1ex-K-10","41456","796.933"
"4","171:M1ex-K-15","41458","803.561"
"5","171:M1ex-K-20","41512","798.247"
"6","171:M1ex-K-25","41527","805.803"
"7","171:M1ex-K-30","41450","801.561"
"8","171:M1ex-K-35","41439","792.690"
"9","171:M1ex-K-40","41447","797.034"
"10","171:M1ex-K-45","41425","787.720"
"11","171:M1ex-K-50","41406","806.874"
"12","171:M1ex-K-55","41421","798.690"
"13","171:M1ex-K-60","41404","794.590"
"1","172:M1ex-K-00","34060","706.808"
"2","172:M1ex-K-05","34052","700.323"
"3","172:M1ex-K-10","34178","700.909"
"4","172:M1ex-K-15","34278","702.909"
"5","172:M1ex-K-20","34326","708.122"
"6","172:M1ex-K-25","34351","704.080"
"7","172:M1ex-K-30","34385","709.294"
"8","172:M1ex-K-35","34422","702.080"
"9","172:M1ex-K-40","34449","701.252"
"10","172:M1ex-K-45","34431","707.879"
"11","172:M1ex-K-50","34452","707.879"
"12","172:M1ex-K-55","34423","706.222"
"13","172:M1ex-K-60","34429","709.294"
"1","173:M1ex-K-00","32345","687.394"
"2","173:M1ex-K-05","32450","693.051"
"3","173:M1ex-K-10","32616","701.779"
"4","173:M1ex-K-15","32742","707.779"
"5","173:M1ex-K-20","32878","713.436"
"6","173:M1ex-K-25","32951","716.850"
"7","173:M1ex-K-30","33004","722.850"
"8","173:M1ex-K-35","33098","716.850"
"9","173:M1ex-K-40","33150","723.578"
"10","173:M1ex-K-45","33238","714.365"
"11","173:M1ex-K-50","33332","722.992"
"12","173:M1ex-K-55","33441","724.063"
"1","174:M1ex-K-00","41032","777.619"
"2","174:M1ex-K-05","41054","774.649"
"3","174:M1ex-K-10","41090","772.063"
"4","174:M1ex-K-15","41110","775.134"
"5","174:M1ex-K-20","41129","780.448"
"6","174:M1ex-K-25","41180","779.862"
"7","174:M1ex-K-30","41182","777.377"
"8","174:M1ex-K-35","41224","780.105"
"9","174:M1ex-K-40","41196","781.519"
"10","174:M1ex-K-45","41249","780.933"
"11","174:M1ex-K-50","41250","780.690"
"12","174:M1ex-K-55","41244","786.105"
"1","175:M1ex-K-00","41051","773.921"
"2","175:M1ex-K-05","41009","778.992"
"3","175:M1ex-K-10","40980","773.678"
"4","175:M1ex-K-15","40956","782.891"
"5","175:M1ex-K-20","40974","771.678"
"6","175:M1ex-K-25","40934","776.406"
"7","175:M1ex-K-30","40937","770.264"
"8","175:M1ex-K-35","40935","772.264"
"9","175:M1ex-K-40","40924","774.164"
"10","175:M1ex-K-45","40935","773.678"
"11","175:M1ex-K-50","40941","774.507"
"12","175:M1ex-K-55","40958","770.021"
"13","175:M1ex-K-60","40914","771.335"
"1","176:M1ex-K-00","39321","750.708"
"2","176:M1ex-K-05","39742","758.021"
"3","176:M1ex-K-10","40087","760.021"
"4","176:M1ex-K-15","40352","761.436"
"5","176:M1ex-K-20","40528","759.879"
"6","176:M1ex-K-25","40625","767.436"
"7","176:M1ex-K-30","40686","766.465"
"8","176:M1ex-K-35","40780","773.436"
"9","176:M1ex-K-40","40789","769.294"
"10","176:M1ex-K-45","40818","767.151"
"11","176:M1ex-K-50","40808","772.122"
"12","176:M1ex-K-55","40790","767.051"
"1","177:M1ex-K-00","35048","717.294"
"2","177:M1ex-K-05","34751","723.678"
"3","177:M1ex-K-10","33630","713.637"
"4","177:M1ex-K-15","33676","714.465"
"5","177:M1ex-K-20","33745","716.950"
"6","177:M1ex-K-25","33748","707.838"
"7","177:M1ex-K-30","33792","713.536"
"8","177:M1ex-K-35","33809","722.164"
"9","177:M1ex-K-40","33803","717.779"
"10","177:M1ex-K-45","33795","714.708"
"11","177:M1ex-K-50","33821","723.820"
"12","177:M1ex-K-55","33838","717.536"
"1","178:M1ex-K-00","36537","741.235"
"2","178:M1ex-K-05","36630","746.548"
"3","178:M1ex-K-10","36753","750.933"
"4","178:M1ex-K-15","36860","752.105"
"5","178:M1ex-K-20","36897","746.063"
"6","178:M1ex-K-25","36918","743.335"
"7","178:M1ex-K-30","36944","749.377"
"8","178:M1ex-K-35","37002","753.862"
"9","178:M1ex-K-40","37034","744.649"
"10","178:M1ex-K-45","37058","757.862"
"11","178:M1ex-K-50","37111","754.548"
"12","178:M1ex-K-55","37159","754.448"
"13","178:M1ex-K-60","37209","746.063"
"1","179:M1ex-K-00","33708","705.051"
"2","179:M1ex-K-05","33780","703.151"
"3","179:M1ex-K-10","33794","705.879"
"4","179:M1ex-K-15","33810","702.909"
"5","179:M1ex-K-20","33849","708.365"
"6","179:M1ex-K-25","33866","707.637"
